1,199,metro,2.60,0,2018
1,199,autocarro,68.55,29,2018
1,199,comboio,51.04,7,2018
1,199,ferry,39.64,5,2018
1,199,outros,49.79,14,2018
1,199,metro,1.36,0,2019
1,199,autocarro,42.37,28,2019
1,199,comboio,58.20,5,2019
1,199,ferry,39.48,3,2019
1,199,outros,50.04,18,2019
1,199,metro,0.88,1,2020
1,199,autocarro,71.44,24,2020
1,199,comboio,42.72,5,2020
1,199,ferry,43.05,4,2020
1,199,outros,33.55,8,2020
1,199,metro,2.34,0,2021
1,199,autocarro,55.84,21,2021
1,199,comboio,34.83,6,2021
1,199,ferry,24.74,2,2021
1,199,outros,57.43,16,2021
1,199,metro,3.71,0,2022
1,199,autocarro,52.74,13,2022
1,199,comboio,41.55,7,2022
1,199,ferry,25.06,3,2022
1,199,outros,51.62,20,2022
1,199,metro,0.57,0,2023
1,199,autocarro,63.35,25,2023
1,199,comboio,34.20,5,2023
1,199,ferry,37.51,4,2023
1,199,outros,59.04,8,2023
1,199,metro,1.73,0,2024
1,199,autocarro,60.67,34,2024
1,199,comboio,68.12,3,2024
1,199,ferry,51.08,7,2024
1,199,outros,35.44,9,2024
1,200,metro,2.62,0,2018
1,200,autocarro,46.13,27,2018
1,200,comboio,47.95,8,2018
1,200,ferry,21.41,6,2018
1,200,outros,64.30,10,2018
1,200,metro,3.28,0,2019
1,200,autocarro,71.65,21,2019
1,200,comboio,57.00,8,2019
1,200,ferry,21.72,5,2019
1,200,outros,45.88,12,2019
1,200,metro,1.04,1,2020
1,200,autocarro,54.72,11,2020
1,200,comboio,36.22,8,2020
1,200,ferry,49.89,3,2020
1,200,outros,43.07,6,2020
1,200,metro,0.51,1,2021
1,200,autocarro,74.40,27,2021
1,200,comboio,51.47,5,2021
1,200,ferry,34.15,3,2021
1,200,outros,41.72,16,2021
1,200,metro,2.94,0,2022
1,200,autocarro,68.91,15,2022
1,200,comboio,47.20,8,2022
1,200,ferry,35.48,3,2022
1,200,outros,52.28,12,2022
1,200,metro,0.72,0,2023
1,200,autocarro,74.62,16,2023
1,200,comboio,50.81,3,2023
1,200,ferry,54.26,6,2023
1,200,outros,78.54,17,2023
1,200,metro,0.48,0,2024
1,200,autocarro,61.74,14,2024
1,200,comboio,36.57,10,2024
1,200,ferry,26.45,4,2024
1,200,outros,75.38,9,2024
1,201,metro,0.50,0,2018
1,201,autocarro,48.51,12,2018
1,201,comboio,25.15,6,2018
1,201,ferry,39.75,5,2018
1,201,outros,50.32,10,2018
1,201,metro,4.73,0,2019
1,201,autocarro,72.02,11,2019
1,201,comboio,54.12,5,2019
1,201,ferry,46.20,2,2019
1,201,outros,65.37,19,2019
1,201,metro,5.25,0,2020
1,201,autocarro,59.25,18,2020
1,201,comboio,60.24,7,2020
1,201,ferry,22.67,4,2020
1,201,outros,54.54,8,2020
1,201,metro,1.11,0,2021
1,201,autocarro,72.51,30,2021
1,201,comboio,22.11,4,2021
1,201,ferry,34.78,2,2021
1,201,outros,32.74,9,2021
1,201,metro,2.56,0,2022
1,201,autocarro,58.29,12,2022
